"0.1.0","26","0.001179245300590992"
"0.1.1","9","4.0820028516463935E-4"
"0.1.2","5","2.2677793458569795E-4"
"0.2.0","12","5.442670662887394E-4"
"0.2.1","105","0.004762336611747742"
"0.3.0","140","0.006349782459437847"
"0.4.0-RC1","5","2.2677793458569795E-4"
"0.4.0","98","0.0044448478147387505"
"0.4.0-RC2","8","3.628447011578828E-4"
"0.4.1","977","0.044312410056591034"
"0.5.0-M1","3","1.3606676657218486E-4"
"0.5.0-M2","43","0.0019502902869135141"
"0.5.0","77","0.0034923802595585585"
"0.5.0-M3","12","5.442670662887394E-4"
"0.5.1","647","0.029345065355300903"
"0.5.2","143","0.006485849153250456"
"0.5.3","38","0.0017235123086720705"
"0.5.4","373","0.016917634755373"
"0.6.0","106","0.004807692486792803"
"0.6.0-RC1","4","1.814223505789414E-4"
"0.6.1","1459","0.06617379933595657"
"0.7.0-M1","46","0.002086356980726123"
"0.7.0","6132","0.2781204581260681"
"0.7.0-M2","283","0.012835631147027016"
"0.7.1","1197","0.054290637373924255"
"0.8.0","9797","0.44434869289398193"
"0.8.0-RC1","7","3.1748911715112627E-4"
"0.9.0-M1","296","0.013425254262983799"
